"Pokemon
Name",Generation,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Height (m),Weight (kg)
Sandshrew,1,50,75,85,20,30,40,300,0.6,12
Sandshrew (Alolan),7,50,75,90,10,35,40,300,0.7,40
Sandslash,1,75,100,110,45,55,65,450,1,29.5
Sandslash (Alolan),7,75,100,120,25,65,65,450,1.2,55
Nidoran (Female),1,55,47,52,40,40,41,275,0.4,7
Nidorina,1,70,62,67,55,55,56,365,0.8,20
Nidoqueen,1,90,92,87,75,85,76,505,1.3,60
Nidoran (Male),1,46,57,40,40,40,50,273,0.5,9
Nidorino,1,61,72,57,55,55,65,365,0.9,19.5
Nidoking,1,81,102,77,85,75,85,505,1.4,62
Clefairy,1,70,45,48,60,65,35,323,0.6,7.5
Clefable,1,95,70,73,95,90,60,483,1.3,40
Vulpix,1,38,41,40,50,65,65,299,0.6,9.9
Vulpix (Alolan),7,38,41,40,50,65,65,299,0.6,9.9
Ninetales,1,73,76,75,81,100,100,505,1.1,19.9
Ninetales (Alolan),7,73,67,75,81,100,109,505,1.1,19.9
Jigglypuff,1,115,45,20,45,25,20,270,0.5,5.5
Wigglytuff,1,140,70,45,85,50,45,435,1,12
Zubat,1,40,45,35,30,40,55,245,0.8,7.5
Golbat,1,75,80,70,65,75,90,455,1.6,55
Oddish,1,45,50,55,75,65,30,320,0.5,5.4
Gloom,1,60,65,70,85,75,40,395,0.8,8.6
Vileplume,1,75,80,85,110,90,50,490,1.2,18.6
Paras,1,35,70,55,45,55,25,285,0.3,5.4
Parasect,1,60,95,80,60,80,30,405,1,29.5
Venonat,1,60,55,50,40,55,45,305,1,30
Venomoth,1,70,65,60,90,75,90,450,1.5,12.5
Diglett,1,10,55,25,35,45,95,265,0.2,0.8
Diglett (Alolan),7,10,55,30,35,45,90,265,0.2,1
Dugtrio,1,35,100,50,50,70,120,425,0.7,33.3
Dugtrio (Alolan),7,35,100,60,50,70,110,425,0.7,66.6
Meowth,1,40,45,35,40,40,90,290,0.4,4.2
Meowth (Alolan),7,40,35,35,50,40,90,290,0.4,4.2
Meowth (Galarian),8,50,65,55,40,40,40,290,0.4,7.5
Persian,1,65,70,60,65,65,115,440,1,32
Persian (Alolan),7,65,60,60,75,65,115,440,1.1,33
Psyduck,1,50,52,48,65,50,55,320,0.8,19.6
Golduck,1,80,82,78,95,80,85,500,1.7,76.6
Mankey,1,40,80,35,35,45,70,305,0.5,28
Primeape,1,65,105,60,60,70,95,455,1,32
Growlithe,1,55,70,45,70,50,60,350,0.7,19
Growlithe (Hisuian),8,60,75,45,65,50,55,350,0.8,22.7
Arcanine,1,90,110,80,100,80,95,555,1.9,155
Arcanine (Hisuian),8,95,115,80,95,80,90,555,2,168
Poliwag,1,40,50,40,40,40,90,300,0.6,12.4
Poliwhirl,1,65,65,65,50,50,90,385,1,20
Poliwrath,1,90,95,95,70,90,70,510,1.3,54
Abra,1,25,20,15,105,55,90,310,0.9,19.5
Kadabra,1,40,35,30,120,70,105,400,1.3,56.5
Alakazam,1,55,50,45,135,95,120,500,1.5,48
Alakazam (Mega),6,55,50,65,175,95,150,590,1.2,48
Machop,1,70,80,50,35,35,35,305,0.8,19.5
Machoke,1,80,100,70,50,60,45,405,1.5,70.5
Machamp,1,90,130,80,65,85,55,505,1.6,130
Bellsprout,1,50,75,35,70,30,40,300,0.7,4
Weepinbell,1,65,90,50,85,45,55,390,1,6.4
Victreebel,1,80,105,65,100,70,70,490,1.7,15.5
Tentacool,1,40,40,35,50,100,70,335,0.9,45.5
Tentacruel,1,80,70,65,80,120,100,515,1.6,55
Geodude,1,40,80,100,30,30,20,300,0.4,20
Geodude (Alolan),7,40,80,100,30,30,20,300,0.4,20.3
Graveler,1,55,95,115,45,45,35,390,1,105
Graveler (Alolan),7,55,95,115,45,45,35,390,1,110
Golem,1,80,120,130,55,65,45,495,1.4,300
Golem (Alolan),7,80,120,130,55,65,45,495,1.7,316
Ponyta,1,50,85,55,65,65,90,410,1,30
Ponyta (Galarian),8,50,85,55,65,65,90,410,0.8,24
Rapidash,1,65,100,70,80,80,105,500,1.7,95
Rapidash (Galarian),8,65,100,70,80,80,105,500,1.7,80
Slowpoke,1,90,65,65,40,40,15,315,1.2,36
Slowpoke (Galarian),8,90,65,65,40,40,15,315,1.2,36
Slowbro,1,95,75,110,100,80,30,490,1.6,78.5
Slowbro (Mega),6,95,75,180,130,80,30,590,2,120
Slowbro (Galarian),8,95,100,85,100,70,30,480,1.6,70.5
Magnemite,1,25,35,70,95,55,45,325,0.3,6
Magneton,1,50,60,95,120,70,70,465,1,60
Farfetch'd,1,52,90,55,58,62,60,377,0.8,15
Farfetch'd (Galarian),8,52,95,55,58,62,55,377,0.8,42
Doduo,1,35,85,45,35,35,75,310,1.4,39.2
Dodrio,1,60,110,70,60,60,110,470,1.8,85.2
Seel,1,65,45,55,45,70,45,325,1.1,90
Dewgong,1,90,70,80,70,95,70,475,1.7,120
Grimer,1,80,80,50,40,50,25,325,0.9,30
Grimer (Alolan),7,80,80,50,40,50,25,325,0.7,42
Muk,1,105,105,75,65,100,50,500,1.2,30
Muk (Alolan),7,105,105,75,65,100,50,500,1,52
Shellder,1,30,65,100,45,25,40,305,0.3,4
Cloyster,1,50,95,180,85,45,70,525,1.5,132.5
Gastly,1,30,35,30,100,35,80,310,1.3,0.1
Haunter,1,45,50,45,115,55,95,405,1.6,0.1
Gengar,1,60,65,60,130,75,110,500,1.5,40.5
Gengar (Mega),6,60,65,80,170,95,130,600,1.4,40.5
Onix,1,35,45,160,30,45,70,385,8.8,210
Drowzee,1,60,48,45,43,90,42,328,1,32.4
Hypno,1,85,73,70,73,115,67,483,1.6,75.6
Krabby,1,30,105,90,25,25,50,325,0.4,6.5
Kingler,1,55,130,115,50,50,75,475,1.3,60
Voltorb,1,40,30,50,55,55,100,330,0.5,10.4
Voltorb (Hisuian),8,40,30,50,55,55,100,330,0.5,13
Electrode,1,60,50,70,80,80,150,490,1.2,66.6
Electrode (Hisuian),8,60,50,70,80,80,150,490,1.2,71
Exeggcute,1,60,40,80,60,45,40,325,0.4,2.5
Exeggutor,1,95,95,85,125,75,55,530,2,120
Exeggutor (Alolan),7,95,105,85,125,75,45,530,10.9,415.6
Cubone,1,50,50,95,40,50,35,320,0.4,6.5
Marowak,1,60,80,110,50,80,45,425,1,45
Marowak (Alolan),7,60,80,110,50,80,45,425,1,34
Hitmonlee,1,50,120,53,35,110,87,455,1.5,49.8
Hitmonchan,1,50,105,79,35,110,76,455,1.4,50.2
Lickitung,1,90,55,75,60,75,30,385,1.2,65.5
Koffing,1,40,65,95,60,45,35,340,0.6,1
Weezing,1,65,90,120,85,70,60,490,1.2,9.5
Weezing (Galarian),8,65,90,120,85,70,60,490,3,16
Rhyhorn,1,80,85,95,30,30,25,345,1,115
Rhydon,1,105,130,120,45,45,40,485,1.9,120
Chansey,1,250,5,5,35,105,50,450,1.1,34.6
Tangela,1,65,55,115,100,40,60,435,1,35
Kangaskhan,1,105,95,80,40,80,90,490,2.2,80
Kangaskhan (Mega),6,105,125,100,60,100,100,590,2.2,100
Horsea,1,30,40,70,70,25,60,295,0.4,8
Seadra,1,55,65,95,95,45,85,440,1.2,25
Goldeen,1,45,67,60,35,50,63,320,0.6,15
Seaking,1,80,92,65,65,80,68,450,1.3,39
Staryu,1,30,45,55,70,55,85,340,0.8,34.5
Starmie,1,60,75,85,100,85,115,520,1.1,80
Mr. Mime,1,40,45,65,100,120,90,460,1.3,54.5
Mr. Mime (Galarian),8,50,65,65,90,90,100,460,1.4,56.8
Scyther,1,70,110,80,55,80,105,500,1.5,56
Jynx,1,65,50,35,115,95,95,455,1.4,40.6
Electabuzz,1,65,83,57,95,85,105,490,1.1,30
Magmar,1,65,95,57,100,85,93,495,1.3,44.5
Pinsir,1,65,125,100,55,70,85,500,1.5,55
Pinsir (Mega),6,65,155,120,65,90,105,600,1.7,59
Tauros,1,75,100,95,40,70,110,490,1.4,88.4
"Tauros (Paldean, Combat)",9,75,110,105,30,70,100,490,1.4,115
"Tauros (Paldean, Blaze)",9,75,110,105,30,70,100,490,1.4,85
"Tauros (Paldean, Aqua)",9,75,110,105,30,70,100,490,1.4,110
Magikarp,1,20,10,55,15,20,80,200,0.9,10
Gyarados,1,95,125,79,60,100,81,540,6.5,235
Gyarados (Mega),6,95,155,109,70,130,81,640,6.5,305
Lapras,1,130,85,80,85,95,60,535,2.5,220
Ditto,1,48,48,48,48,48,48,288,0.3,4
Eevee,1,55,55,50,45,65,55,325,0.3,6.5
Vaporeon,1,130,65,60,110,95,65,525,1,29
Jolteon,1,65,65,60,110,95,130,525,0.8,24.5
Flareon,1,65,130,60,95,110,65,525,0.9,25
Porygon,1,65,60,70,85,75,40,395,0.8,36.5
Omanyte,1,35,40,100,90,55,35,355,0.4,7.5
Omastar,1,70,60,125,115,70,55,495,1,35
Kabuto,1,30,80,90,55,45,55,355,0.5,11.5
Kabutops,1,60,115,105,65,70,80,495,1.3,40.5
Aerodactyl,1,80,105,65,60,75,130,515,1.8,59
Aerodactyl (Mega),6,80,135,85,70,95,150,615,2.1,79
Snorlax,1,160,110,65,65,110,30,540,2.1,460
Articuno,1,90,85,100,95,125,85,580,1.7,55.4
Articuno (Galarian),8,90,85,85,125,100,95,580,1.7,50.9
Zapdos,1,90,90,85,125,90,100,580,1.6,52.6
Zapdos (Galarian),8,90,125,90,85,90,100,580,1.6,58.2
Moltres,1,90,100,90,125,85,90,580,2,60
Moltres (Galarian),8,90,85,90,100,125,90,580,2,66
Dratini,1,41,64,45,50,50,50,300,1.8,3.3
Dragonair,1,61,84,65,70,70,70,420,4,16.5
Dragonite,1,91,134,95,100,100,80,600,2.2,210
Mewtwo,1,106,110,90,154,90,130,680,2,122
Mewtwo (Mega X),6,106,190,100,154,100,130,780,2.3,127
Mewtwo (Mega Y),6,106,150,70,194,120,140,780,1.5,33
Mew,1,100,100,100,100,100,100,600,0.4,4
